start,end,token,cleaned_token,overlap
1.018,1.285,か,か,False
1.285,1.352,な,な,False
1.352,1.452,え,え,False
1.452,1.585,た,た,False
1.585,1.685,い,い,False
1.685,1.785,み,み,False
1.785,2.119,ら,ら,False
2.119,2.319,い,い,False
2.319,2.753,へ,へ,False
2.753,2.953,こ,こ,False
2.953,3.053,こ,こ,False
3.053,3.187,ろ,ろ,False
3.187,3.32,の,の,False
3.32,3.42,じゅ,じゅ,False
3.42,3.52,ん,ん,False
3.52,3.821,び,び,False
3.821,4.054,o,,False
4.054,4.455,k？,,False
4.455,4.555,さ,さ,False
4.555,4.655,あ、,あ,False
4.655,4.788,い,い,False
4.788,4.922,っ,っ,False
4.922,5.022,ぽ,ぽ,False
5.022,5.122,ふ,ふ,False
5.122,5.222,み,み,False
5.222,5.556,だ,だ,False
5.556,5.756,し,し,False
5.756,6.223,て,て,False
6.223,6.523,いっ,いっ,False
6.523,6.89,せー,せー,False
6.89,7.458,の、,の,False
7.458,7.958,せ！,せ,False
14.898,15.032,ま,ま,False
15.032,15.199,っ,っ,False
15.199,15.265,し,し,False
15.265,15.332,ろ,ろ,False
15.332,15.566,な,な,False
15.566,15.666,ひ,ひ,False
15.666,15.966,つ,つ,False
15.966,16.2,じ,じ,False
16.2,16.367,に,に,False
16.367,16.433,い,い,False
16.433,16.533,の,の,False
16.533,16.867,ち,ち,False
16.867,17.067,が,が,False
17.067,17.201,や,や,False
17.201,17.334,ど,ど,False
17.334,17.434,っ,っ,False
17.434,18.402,て,て,False
18.402,18.602,め,め,False
18.602,18.702,ざ,ざ,False
18.702,18.836,め,め,False
18.836,19.069,た,た,False
19.069,19.169,ん,ん,False
19.169,19.47,だ,だ,False
19.47,19.603,こ,こ,False
19.603,19.703,の,の,False
19.703,19.803,お,お,False
19.803,19.903,お,お,False
19.903,20.037,き,き,False
20.037,20.337,な,な,False
20.337,20.571,せ,せ,False
20.571,20.804,か,か,False
20.804,20.938,い,い,False
20.938,21.672,で,で,False
21.672,21.772,な,な,False
21.772,21.872,に,に,False
21.872,22.306,を,を,False
22.306,22.539,し,し,False
22.539,22.639,よ,よ,False
22.639,22.94,う,う,False
22.94,23.407,か,か,False
23.407,23.54,ど,ど,False
23.54,23.607,こ,こ,False
23.607,24.041,に,に,False
24.041,24.274,い,い,False
24.274,24.375,こ,こ,False
24.375,24.708,う,う,False
24.708,25.342,か,か,False
25.342,25.576,ぼ,ぼ,False
25.576,25.776,う,う,False
25.776,25.909,け,け,False
25.909,26.01,ん,ん,False
26.01,26.11,は,は,False
26.11,26.41,は,は,False
26.41,26.643,じ,じ,False
26.643,26.844,ま,ま,False
26.844,26.977,っ,っ,False
26.977,27.945,た,た,False
28.846,29.046,ふ,ふ,False
29.046,29.179,ら,ら,False
29.179,29.246,ふ,ふ,False
29.246,29.48,ら,ら,False
29.48,29.613,な,な,False
29.613,29.913,あ,あ,False
29.913,30.114,し,し,False
30.114,30.247,ど,ど,False
30.247,30.347,り,り,False
30.347,30.447,で,で,False
30.447,30.781,よ,よ,False
30.781,31.015,わ,わ,False
31.015,31.115,よ,よ,False
31.115,31.248,わ,わ,False
31.248,31.348,し,し,False
31.348,32.316,く,く,False
32.316,32.449,こ,こ,False
32.449,32.549,え,え,False
32.549,32.75,も,も,False
32.75,32.983,ふ,ふ,False
32.983,33.083,る,る,False
33.083,33.384,え,え,False
33.384,33.617,て,て,False
33.617,33.851,う,う,False
33.851,33.951,ま,ま,False
33.951,34.284,く,く,False
34.284,34.485,な,な,False
34.485,34.685,け,け,False
34.685,34.818,な,な,False
34.818,35.519,い,い,False
35.519,35.652,そ,そ,False
35.652,35.786,ん,ん,False
35.786,36.22,な,な,False
36.22,36.42,じ,じ,False
36.42,36.52,ぶ,ぶ,False
36.52,36.854,ん,ん,False
36.854,37.287,が,が,False
37.287,37.521,や,や,False
37.521,37.755,る,る,False
37.755,37.955,せ,せ,False
37.955,38.155,な,な,False
38.155,38.822,い,い,False
38.822,39.089,じ,じ,False
39.089,39.256,し,し,False
39.256,39.69,ん,ん,False
39.69,39.823,そ,そ,False
39.823,39.923,う,う,False
39.923,40.024,し,し,False
40.024,40.324,つ,つ,False
40.324,40.557,ぎ,ぎ,False
40.557,40.791,み,み,False
40.791,40.891,で,で,False
40.891,41.892,す,す,False
42.726,42.926,で,で,False
42.926,43.06,も,も,False
43.06,43.193,じ,じ,False
43.193,43.293,か,か,False
43.293,43.394,ん,ん,False
43.394,43.494,は,は,False
43.494,43.861,す,す,False
43.861,44.028,す,す,False
44.028,44.495,む,む,False
44.495,44.728,き,き,False
44.728,44.828,も,も,False
44.828,44.928,ち,ち,False
44.928,45.062,ば,ば,False
45.062,45.162,か,か,False
45.162,45.262,り,り,False
45.262,45.562,あ,あ,False
45.562,45.796,せ,せ,False
45.796,46.196,る,る,False
46.196,46.497,「ゆ,ゆ,False
46.497,46.63,っ,っ,False
46.63,46.764,く,く,False
46.764,46.864,り,り,False
46.864,46.964,で,で,False
46.964,47.064,い,い,False
47.064,47.297,い,い,False
47.297,47.498,か,か,False
47.498,47.931,ら,ら,False
47.931,48.198,な,な,False
48.198,48.365,い,い,False
48.365,48.499,て,て,False
48.499,48.599,ちゃ,ちゃ,False
48.599,48.732,だ,だ,False
48.732,49.033,め,め,False
49.033,49.233,だ,だ,False
49.233,49.7,よ」,よ,False
49.7,49.933,か,か,False
49.933,50.034,な,な,False
50.034,50.134,え,え,False
50.134,50.234,た,た,False
50.234,50.334,い,い,False
50.334,50.467,み,み,False
50.467,50.768,ら,ら,False
50.768,51.001,い,い,False
51.001,51.435,へ,へ,False
51.435,51.668,こ,こ,False
51.668,51.769,こ,こ,False
