start,end,token,cleaned_token,overlap,ignore,gap,other,exclude
0.0,5.689,<silence>,<silence>,False,False,False,False,False
5.689,6.39,(ストレン,ストレン,False,False,False,False,False
6.39,6.59,ジ),ジ,False,False,False,False,False
6.59,19.403,<silence>,<silence>,False,False,False,False,False
19.403,19.57,く,く,False,False,False,False,False
19.57,19.703,だ,だ,False,False,False,False,False
19.703,19.837,ら,ら,False,False,False,False,False
19.837,20.037,な,な,False,False,False,False,False
20.037,20.237,い　,い,False,False,False,False,False
20.237,20.371,く,く,False,False,False,False,False
20.371,20.504,だ,だ,False,False,False,False,False
20.504,20.671,ら,ら,False,False,False,False,False
20.671,20.871,な,な,False,False,False,False,False
20.871,21.071,い　,い,False,False,False,False,False
21.071,21.205,綺,,False,False,False,True,True
21.205,21.338,麗,,False,False,False,True,True
21.338,21.472,麗,,False,False,False,True,True
21.472,21.739,事,,False,False,False,True,True
21.739,21.905,事,,False,False,False,True,True
21.905,22.039,並,,False,False,False,True,True
22.039,22.139,並,,False,False,False,True,True
22.139,22.306,べ,べ,False,False,False,False,False
22.306,22.706,た,た,False,False,False,False,False
22.706,22.84,自,,False,False,False,True,True
22.84,22.973,己,,False,False,False,True,True
22.973,23.14,犠,,False,False,False,True,True
23.14,23.273,牲,,False,False,False,True,True
23.273,23.374,牲,,False,False,False,True,True
23.374,23.574,に,に,False,False,False,False,False
23.574,23.741,正,,False,False,False,True,True
23.741,23.841,正,,False,False,False,True,True
23.841,23.941,義,,False,False,False,True,True
23.941,24.074,な,な,False,False,False,False,False
24.074,24.241,ん,ん,False,False,False,False,False
24.241,24.375,か,か,False,False,False,False,False
24.375,24.508,あ,あ,False,False,False,False,False
24.508,24.641,っ,っ,False,False,False,False,False
24.641,24.775,た,た,False,False,False,False,False
24.775,24.908,も,も,False,False,False,False,False
24.908,25.042,ん,ん,False,False,False,False,False
25.042,25.209,じゃ,じゃ,False,False,False,False,False
25.209,25.476,な,な,False,False,False,False,False
25.476,26.043,い,い,False,False,False,False,False
26.043,26.176,つ,つ,False,False,False,False,False
26.176,26.31,ま,ま,False,False,False,False,False
26.31,26.443,ら,ら,False,False,False,False,False
