start,end,token,cleaned_token,exclude
0.0,1.652,<silence>,<silence>,False
1.652,2.119,wel,,True
2.119,2.886,come!,,True
2.886,2.987,あ,あ,False
2.987,3.087,な,な,False
3.087,3.187,た,た,False
3.187,3.253,は,は,False
3.253,3.32,え,え,False
3.32,3.387,ら,ら,False
3.387,3.487,ば,ば,False
3.487,3.52,れ,れ,False
3.52,3.654,し,し,False
3.654,3.754,ポ,ポ,False
3.754,3.854,ル,ル,False
3.854,3.954,カ,カ,False
3.954,4.121,さー,さー,False
4.121,4.254,か,か,False
4.254,4.321,す,す,False
4.321,4.388,の,の,False
4.388,4.555,は,は,False
4.555,4.621,じ,じ,False
4.621,4.755,め,め,False
4.755,4.822,て,て,False
4.822,4.888,の,の,False
4.888,4.989,お,お,False
4.989,5.055,きゃ,きゃ,False
5.055,5.155,く,く,False
5.155,5.189,さ,さ,False
5.189,5.489,ま！,ま,False
5.489,5.656,やあ,やあ,False
5.656,5.789,やあ,やあ,False
5.789,5.956,お,お,False
5.956,6.09,ま,ま,False
6.09,6.156,た,た,False
6.156,6.29,せ,せ,False
6.29,6.39,し,し,False
6.39,6.49,ま,ま,False
6.49,6.557,し,し,False
6.557,6.824,た,た,False
6.824,6.991,と,と,False
6.991,7.057,て,て,False
7.057,7.157,も,も,False
7.157,7.391,はっ,はっ,False
7.391,7.524,ぴー,ぴー,False
7.524,7.658,な,な,False
7.658,7.758,どう,どう,False
7.758,7.858,ぶ,ぶ,False
7.858,7.925,つ,つ,False
7.925,8.058,た,た,False
8.058,8.258,ち,ち,False
8.258,8.492,ゆ,ゆ,False
8.492,8.592,か,か,False
8.592,8.659,い,い,False
8.659,8.792,で,で,False
8.792,8.959,か,か,False
8.959,9.093,わ,わ,False
9.093,9.226,い,い,False
9.226,9.326,い,い,False
9.326,9.493,ま,ま,False
9.493,9.593,か,か,False
9.593,9.66,い,い,False
9.66,9.76,の,の,False
9.76,9.893,こ,こ,False
9.893,9.96,か,か,False
9.96,10.094,ら,ら,False
10.094,10.194,え,え,False
10.194,10.26,る,る,False
10.26,10.361,ふ,ふ,False
10.361,10.494,ま,ま,False
10.494,10.894,で,で,False
10.894,11.161,t,,True
