start,end,token,cleaned_token,exclude
0.0,17.568,<silence>,<silence>,False
17.568,17.868,ま,ま,False
17.868,18.836,だ,だ,False
18.836,19.069,こ,こ,False
19.069,19.37,の,の,False
19.37,19.87,あ,あ,False
19.87,20.304,し,し,False
20.304,21.505,は,は,False
21.505,21.805,あ,あ,False
21.805,22.306,る,る,False
22.306,22.706,け,け,False
22.706,23.607,る,る,False
23.607,27.244,<silence>,<silence>,False
27.244,27.544,ま,ま,False
27.544,28.479,だ,だ,False
28.479,28.779,こ,こ,False
28.779,29.079,の,の,False
29.079,29.313,りょ,りょ,False
29.313,29.546,う,う,False
29.546,29.98,て,て,False
29.98,31.215,は,は,False
31.215,31.515,あ,あ,False
31.515,31.982,す,す,False
31.982,32.416,を,を,False
32.416,33.35,つ,つ,False
33.35,33.617,か,か,False
33.617,34.518,む,む,False
34.518,37.554,<silence>,<silence>,False
37.554,37.955,ゆ,ゆ,False
37.955,38.155,め,め,False
38.155,38.589,で,で,False
38.589,38.756,さ,さ,False
38.756,40.591,え,え,False
40.591,40.724,な,な,False
40.724,40.891,み,み,False
40.891,41.191,だ,だ,False
41.191,41.592,が,が,False
41.592,41.725,き,き,False
41.725,41.959,え,え,False
41.959,42.092,な,な,False
42.092,45.429,い,い,False
45.429,45.729,な,な,False
45.729,47.264,ら,ら,False
47.264,47.731,ぼ,ぼ,False
47.731,47.865,く,く,False
47.865,48.332,は,は,False
48.332,48.499,ま,ま,False
48.499,50.3,だ,だ,False
50.3,50.467,い,い,False
50.467,50.901,け,け,False
50.901,53.604,る,る,False
53.604,53.971,あ,あ,False
53.971,54.238,し,し,False
54.238,54.538,を,を,False
54.538,54.838,ふ,ふ,False
54.838,55.139,み,み,False
55.139,55.439,な,な,False
55.439,56.04,ら,ら,False
56.04,57.274,せ,せ,False
57.274,57.574,げ,げ,False
57.574,57.841,ん,ん,False
57.841,58.275,そ,そ,False
58.275,58.509,う,う,False
58.509,59.71,を,を,False
59.71,59.977,つ,つ,False
59.977,60.277,ら,ら,False
60.277,60.711,ぬ,ぬ,False
60.711,60.911,い,い,False
60.911,62.079,<gap>,<gap>,True
62.079,62.246,の,の,False
62.246,62.379,ま,ま,False
62.379,63.28,ま）,ま,False
63.28,63.614,か,か,False
63.614,63.881,べ,べ,False
63.881,64.214,を,を,False
64.214,64.515,ふ,ふ,False
64.515,64.815,み,み,False
64.815,65.115,な,な,False
65.115,65.716,ら,ら,False
65.716,66.95,せ,せ,False
66.95,67.251,げ,げ,False
67.251,67.551,ん,ん,False
67.551,67.851,か,か,False
67.851,68.185,い,い,False
68.185,69.253,を,を,False
69.253,69.653,し,し,False
69.653,69.987,ら,ら,False
69.987,70.254,な,な,False
70.254,70.587,い,い,False
70.587,70.721,お,お,False
70.721,70.888,ろ,ろ,False
70.888,71.321,か,か,False
71.321,71.522,な,な,False
71.522,71.955,ぼ,ぼ,False
71.955,72.089,く,く,False
72.089,72.556,の,の,False
72.556,72.723,ま,ま,False
72.723,74.525,ま,ま,False
74.525,75.726,<silence>,<silence>,False
75.726,76.16,（な,な,False
76.16,76.326,ん,ん,False
76.326,76.627,か,か,False
76.627,76.794,い,い,False
76.794,77.261,で,で,False
77.261,78.162,も,も,False
78.162,78.562,な,な,False
78.562,78.762,ん,ん,False
78.762,79.063,か,か,False
79.063,79.229,い,い,False
79.229,79.663,で,で,False
79.663,80.564,も,も,False
80.564,81.198,ま,ま,False
81.198,81.465,ち,ち,False
81.465,81.632,が,が,False
81.632,81.765,っ,っ,False
81.765,82.066,て,て,False
82.066,82.699,も）,も,False
82.699,83.0,た,た,False
83.0,83.3,し,し,False
83.3,83.6,か,か,False
83.6,83.901,に,に,False
83.901,84.201,さ,さ,False
84.201,84.535,き,き,False
84.535,85.436,へ,へ,False
85.436,85.869,（な,な,False
85.869,86.036,ん,ん,False
86.036,86.336,か,か,False
86.336,86.503,い,い,False
86.503,86.937,で,で,False
86.937,87.871,も,も,False
87.871,88.305,な,な,False
88.305,88.472,ん,ん,False
88.472,88.772,か,か,False
88.772,88.906,い,い,False
88.906,89.373,で,で,False
89.373,90.274,も,も,False
90.274,90.874,す,す,False
90.874,91.208,す,す,False
91.208,91.508,む,む,False
91.508,91.775,だ,だ,False
91.775,92.409,け）,け,False
92.409,92.543,し,し,False
92.543,92.676,ん,ん,False
92.676,92.843,ぞ,ぞ,False
92.843,93.01,う,う,False
93.01,93.177,が,が,False
93.177,93.31,と,と,False
93.31,93.61,ま,ま,False
93.61,93.911,る,る,False
93.911,94.211,ま,ま,False
94.211,95.145,で,で,False
95.145,104.822,<silence>,<silence>,False
104.822,105.122,ま,ま,False
105.122,106.09,だ,だ,False
106.09,106.356,こ,こ,False
106.356,106.657,の,の,False
106.657,107.124,こ,こ,False
107.124,107.558,え,え,False
107.558,108.759,は,は,False
108.759,109.059,か,か,False
109.059,109.526,れ,れ,False
109.526,109.993,な,な,False
109.993,110.894,い,い,False
110.894,114.531,<silence>,<silence>,False
114.531,114.832,ま,ま,False
114.832,115.732,だ,だ,False
115.732,116.033,こ,こ,False
116.033,116.366,の,の,False
116.366,116.8,りょう,りょう,False
116.8,117.267,め,め,False
117.267,118.469,は,は,False
118.469,118.769,ひ,ひ,False
118.769,119.236,か,か,False
119.236,119.67,り,り,False
119.67,120.604,を,を,False
120.604,120.938,う,う,False
120.938,122.106,つ,つ,False
122.106,123.607,す,す,False
123.607,124.842,<silence>,<silence>,False
124.842,125.275,こ,こ,False
125.275,125.442,の,の,False
125.442,125.909,ま,ま,False
125.909,126.043,ま,ま,False
126.043,127.878,じゃ,じゃ,False
127.878,128.011,な,な,False
128.011,128.178,に,に,False
128.178,128.479,に,に,False
128.479,128.946,も,も,False
128.946,129.079,な,な,False
129.079,129.213,れ,れ,False
129.213,129.379,な,な,False
129.379,130.881,い,い,False
130.881,132.416,<silence>,<silence>,False
132.416,132.716,い,い,False
132.716,133.584,ま、,ま,False
133.584,133.917,あ,あ,False
133.917,134.218,た,た,False
134.218,134.551,え,え,False
134.551,134.852,ら,ら,False
134.852,135.119,れ,れ,False
135.119,135.452,た,た,False
135.452,135.752,ぜ,ぜ,False
135.752,136.053,ん,ん,False
136.053,137.554,ぶ,ぶ,False
137.554,137.855,か,か,False
137.855,139.089,け,け,False
139.089,139.223,て,て,False
139.223,139.69,も,も,False
139.69,139.823,い,い,False
139.823,140.157,い,い,False
140.157,140.29,で,で,False
140.29,141.558,しょ？,しょ,False
141.558,141.792,そ,そ,False
141.792,142.126,う,う,False
142.126,142.426,で,で,False
142.426,143.026,しょ？,しょ,False
143.026,143.327,<silence>,<silence>,False
143.327,143.494,き,き,False
143.494,143.627,ず,ず,False
143.627,143.794,だ,だ,False
143.794,143.927,ら,ら,False
143.927,144.094,け,け,False
144.094,144.261,の,の,False
144.261,144.728,み,み,False
144.728,145.129,ち,ち,False
145.129,145.729,を,を,False
145.729,145.896,あ,あ,False
145.896,146.063,る,る,False
146.063,146.196,き,き,False
146.196,146.33,つ,つ,False
146.33,146.497,づ,づ,False
146.497,146.63,け,け,False
146.63,146.964,て,て,False
146.964,147.097,き,き,False
147.097,147.431,た,た,False
147.431,147.564,ん,ん,False
147.564,148.165,だ,だ,False
148.165,148.465,に,に,False
148.465,148.765,ど,ど,False
