start,end,token,cleaned_token,exclude
0.0,20.804,<silence>,<silence>,False
20.804,21.238,あー、,あー,False
21.238,21.405,こ,こ,False
21.405,21.538,い,い,False
21.538,21.672,の,の,False
21.672,21.739,て,て,False
21.739,21.872,い,い,False
21.872,21.972,ぎ,ぎ,False
21.972,22.106,が,が,False
22.106,22.239,わ,わ,False
22.239,22.339,か,か,False
22.339,22.439,ん,ん,False
22.439,22.706,ない,ない,False
22.706,22.806,ま,ま,False
22.806,22.873,ず,ず,False
22.873,22.973,す,す,False
22.973,23.073,き,き,False
23.073,23.24,って,って,False
23.24,23.34,き,き,False
23.34,23.474,じゅ,じゅ,False
23.474,23.574,ん,ん,False
23.574,23.741,も,も,False
23.741,23.841,わ,わ,False
23.841,23.941,か,か,False
23.941,24.074,ん,ん,False
24.074,24.308,ない,ない,False
24.308,24.408,よ,よ,False
24.408,24.508,う,う,False
24.508,24.608,は、,は,False
24.608,24.775,こ,こ,False
24.775,24.875,い,い,False
24.875,24.975,し,し,False
24.975,25.042,て,て,False
25.042,25.142,る,る,False
25.142,25.242,と,と,False
25.242,25.342,き,き,False
25.342,25.476,が,が,False
25.476,25.576,こ,こ,False
25.576,25.676,い,い,False
25.676,25.843,ら,ら,False
25.843,26.11,しい,しい,False
26.11,26.31,きゃっ,きゃっ,False
26.31,26.543,かん？,かん,False
26.543,26.744,しゅ,しゅ,False
26.744,26.944,かん？,かん,False
26.944,27.044,え,え,False
27.044,27.144,び,び,False
27.144,27.478,でんす,でんす,False
27.478,27.978,ぷりーず！,ぷりーず,False
27.978,28.078,あ,あ,False
28.078,28.145,い,い,False
28.145,28.312,は,は,False
28.312,28.412,け,け,False
28.412,28.579,い,い,False
28.579,28.746,さ,さ,False
28.746,28.812,ん,ん,False
28.812,28.946,じゃ,じゃ,False
28.946,29.046,と,と,False
29.046,29.146,け,け,False
29.146,29.279,な,な,False
29.279,29.446,い,い,False
29.446,29.546,ま,ま,False
29.546,29.646,ず,ず,False
29.646,29.813,ふ,ふ,False
29.813,29.88,つ,つ,False
29.88,29.98,う,う,False
29.98,30.114,の,の,False
30.114,30.214,け,け,False
30.214,30.28,い,い,False
30.28,30.381,さ,さ,False
30.381,30.481,ん,ん,False
30.481,30.614,も,も,False
30.614,30.714,と,と,False
30.714,30.814,け,け,False
30.814,31.048,な,な,False
31.048,31.148,い,い,False
31.148,31.215,よ,よ,False
31.215,31.281,う,う,False
31.281,31.348,は、,は,False
31.348,31.448,そん,そん,False
31.448,31.548,な,な,False
31.548,31.682,じょう,じょう,False
31.682,32.016,たい,たい,False
32.016,32.216,が,が,False
32.216,32.316,あ,あ,False
32.316,32.416,い,い,False
32.416,32.516,ら,ら,False
32.516,32.816,しい,しい,False
32.816,33.05,あい,あい,False
33.05,33.25,のう？,のう,False
33.25,33.484,ゆー,ゆー,False
33.484,33.717,のう？,のう,False
33.717,33.817,も,も,False
33.817,33.917,う,う,False
33.917,34.051,た,た,False
34.051,34.151,い,い,False
34.151,34.284,て,て,False
34.284,34.351,い,い,False
34.351,34.585,の,の,False
34.585,34.752,じ,じ,False
34.752,34.852,しょ,しょ,False
34.852,34.952,う,う,False
34.952,35.052,に,に,False
35.052,35.185,お,お,False
35.185,35.352,い,い,False
35.352,35.586,て,て,False
35.586,35.819,q,,True
35.819,35.919,が,が,False
35.919,36.253,あっ,あっ,False
36.253,36.453,て,て,False
36.453,36.62,a,,True
36.62,36.754,を,を,False
36.754,36.954,だ,だ,False
36.954,37.054,し,し,False
37.054,37.154,て,て,False
37.154,37.287,と,と,False
37.287,37.521,け,け,False
37.521,37.721,る,る,False
37.721,37.921,の,の,False
37.921,38.122,に,に,False
38.122,38.355,かん,かん,False
38.355,38.489,ち,ち,False
38.489,38.789,がっ,がっ,False
38.789,38.989,て,て,False
38.989,39.156,ま,ま,False
39.156,39.289,ち,ち,False
39.289,39.623,がっ,がっ,False
39.623,39.823,て,て,False
39.823,39.957,か,か,False
39.957,40.057,い,い,False
40.057,40.157,の,の,False
40.157,40.257,な,な,False
40.257,40.357,い,い,False
40.357,40.457,こ,こ,False
40.457,40.657,の,の,False
40.657,40.891,き,き,False
40.891,41.091,も,も,False
41.091,41.291,ち,ち,False
41.291,41.525,は,は,False
41.525,41.859,な,な,False
41.859,42.159,ん,ん,False
42.159,42.359,だ,だ,False
42.359,42.593,ろ,ろ,False
42.593,42.793,う,う,False
42.793,43.193,(けん,けん,False
43.193,43.627,しょう,しょう,False
43.627,43.927,is,,True
43.927,44.061,ふ,ふ,False
44.061,44.461,めい,めい,False
44.461,45.095,りょう),りょう,False
45.095,45.295,daz,,True
45.295,45.696,ing!!,,True
45.696,46.063,もー,もー,False
46.063,46.363,しょん,しょん,False
46.363,46.597,は,は,False
46.597,46.797,そう,そう,False
46.797,46.997,たい,たい,False
46.997,47.197,せい,せい,False
47.197,47.297,に,に,False
47.297,47.431,す,す,False
47.431,47.865,てい,てい,False
47.865,48.265,<silence>,<silence>,False
48.265,48.699,ちゅー,ちゅー,False
48.699,49.099,りんぐ,りんぐ,False
49.099,49.566,らぶ,らぶ,False
49.566,49.666,み,み,False
49.666,49.767,つ,つ,False
49.767,49.967,め,め,False
49.967,50.2,あっ,あっ,False
50.2,50.401,たっ,たっ,False
50.401,50.601,た,た,False
50.601,50.701,って,って,False
50.701,50.901,と,と,False
50.901,51.035,け,け,False
51.035,51.135,な,な,False
51.135,51.235,い,い,False
51.235,51.368,め,め,False
51.368,51.635,ろう,ろう,False
51.635,52.069,わっと,わっと,False
52.069,52.503,いず,いず,False
52.503,52.936,らぶ,らぶ,False
52.936,53.237,い,い,False
53.237,53.337,ま,ま,False
53.337,53.57,わん,わん,False
53.57,53.771,つー,つー,False
53.771,53.971,すりー,すりー,False
53.971,54.104,で,で,False
54.104,54.304,あ,あ,False
54.304,54.471,か,か,False
54.471,54.605,そ,そ,False
54.605,54.805,う,う,False
54.805,55.039,か,か,False
55.039,55.139,こ,こ,False
55.139,55.239,と,と,False
55.239,55.339,ば,ば,False
55.339,55.439,で,で,False
55.439,55.539,う,う,False
55.539,55.672,み,み,False
55.672,55.773,だ,だ,False
55.773,55.873,す,す,False
55.873,56.106,くえす,くえす,False
56.106,56.306,ちょん,ちょん,False
56.306,56.507,(くえす,くえす,False
56.507,56.74,ちょん！),ちょん,False
56.74,56.94,はー,はー,False
56.94,57.141,と,と,False
57.141,57.274,で,で,False
57.274,57.307,た,た,False
57.307,57.374,か,か,False
57.374,57.474,な,な,False
57.474,57.541,る,る,False
57.541,57.775,あん,あん,False
57.775,57.975,さー,さー,False
57.975,58.175,(あん,あん,False
58.175,58.409,さー！),さー,False
58.409,58.509,は,は,False
58.509,58.742,かっ,かっ,False
58.742,59.043,た,た,False
59.043,59.243,って,って,False
59.243,59.309,ふ,ふ,False
59.309,59.476,か,か,False
59.476,59.576,く,く,False
59.576,59.877,てい,てい,False
