start,end,token,cleaned_token,overlap,exclude
0.0,0.985,<silence>,<ignore>,False,True
0.985,1.385,e,,False,True
1.385,1.852,la,,False,True
1.852,2.453,ci,,False,True
2.453,2.786,fu,,False,True
2.786,3.32,ya,,False,True
3.32,3.821,ba,,False,True
3.821,4.021,we,,False,True
4.021,6.59,le,,False,True
6.59,7.024,se,,False,True
7.024,7.558,ya,,False,True
7.558,8.092,ku,,False,True
8.092,8.425,la,,False,True
8.425,8.926,ci,,False,True
8.926,9.46,ta,,False,True
9.46,9.693,wa,,False,True
9.693,12.296,ku,,False,True
12.296,12.663,e,,False,True
12.663,13.197,la,,False,True
13.197,13.697,ci,,False,True
13.697,14.064,fu,,False,True
14.064,14.598,ya,,False,True
14.598,15.132,ba,,False,True
15.132,15.299,we,,False,True
15.299,17.935,le,,False,True
17.935,18.302,se,,False,True
18.302,18.836,ya,,False,True
18.836,19.37,ku,,False,True
19.37,19.703,la,,False,True
19.703,20.237,ci,,False,True
20.237,20.771,ta,,False,True
20.771,20.938,wa,,False,True
20.938,22.539,ku,,False,True
22.539,24.274,<silence>,<ignore>,False,True
24.274,24.475,ま,ま,False,False
24.475,24.675,ど,ど,False,False
24.675,24.875,ろ,ろ,False,False
24.875,25.209,み,み,False,False
25.209,25.542,さ,さ,False,False
25.542,25.843,め,め,False,False
25.843,26.243,ず,ず,False,False
26.243,26.61,に,に,False,False
26.61,26.977,お,お,False,False
26.977,27.311,ぼ,ぼ,False,False
27.311,27.678,れ,れ,False,False
27.678,28.012,ゆ,ゆ,False,False
28.012,29.079,く,く,False,False
29.079,29.246,さ,さ,False,False
29.246,29.413,が,が,False,False
29.413,29.78,す,す,False,False
29.78,29.947,さ,さ,False,False
29.947,30.114,が,が,False,False
30.114,30.481,す,す,False,False
30.481,30.647,さ,さ,False,False
30.647,30.814,が,が,False,False
30.814,31.215,す,す,False,False
31.215,31.348,さ,さ,False,False
31.348,31.515,が,が,False,False
31.515,31.915,す,す,False,False
31.915,32.249,い,い,False,False
32.249,32.583,り,り,False,False
32.583,32.75,ぐ,ぐ,False,False
32.75,34.551,ち,ち,False,False
34.551,35.586,<silence>,<silence>,False,False
35.586,35.753,ぬ,ぬ,False,False
35.753,35.953,か,か,False,False
35.953,36.12,る,る,False,False
36.12,36.42,み,み,False,False
36.42,36.854,す,す,False,False
36.854,37.221,く,く,False,False
37.221,37.554,え,え,False,False
37.554,37.888,ば,ば,False,False
37.888,38.255,て,て,False,False
38.255,38.589,に,に,False,False
38.589,38.922,と,と,False,False
38.922,39.323,け,け,False,False
39.323,40.357,て,て,False,False
40.357,40.524,き,き,False,False
40.524,40.724,お,お,False,False
40.724,41.091,く,く,False,False
41.091,41.258,う,う,False,False
41.258,41.425,ず,ず,False,False
41.425,41.725,く,く,False,False
41.725,41.925,つ,つ,False,False
41.925,42.126,づ,づ,False,False
42.126,42.459,く,く,False,False
42.459,42.659,く,く,False,False
42.659,42.86,る,る,False,False
42.86,43.193,う,う,False,False
43.193,43.494,く,く,False,False
43.494,43.727,つ,つ,False,False
43.727,45.496,う,う,False,False
45.496,46.897,<silence>,<silence>,False,False
46.897,47.064,い,い,False,False
47.064,47.264,に,に,False,False
47.264,47.431,し,し,False,False
47.431,47.765,え,え,False,False
47.765,48.132,し,し,False,False
48.132,48.465,る,る,False,False
48.465,48.866,さ,さ,False,False
48.866,49.199,れ,れ,False,False
49.199,49.533,そ,そ,False,False
49.533,49.867,の,の,False,False
49.867,50.234,ま,ま,False,False
50.234,50.601,ま,ま,False,False
50.601,51.668,の,の,False,False
51.668,51.835,あ,あ,False,False
51.835,52.002,か,か,False,False
52.002,52.369,い,い,False,False
52.369,52.536,あ,あ,False,False
52.536,52.77,か,か,False,False
52.77,53.07,い,い,False,False
53.07,53.237,あ,あ,False,False
53.237,53.437,か,か,False,False
53.437,53.771,い,い,False,False
53.771,53.937,あ,あ,False,False
53.937,54.138,か,か,False,False
54.138,54.471,い,い,False,False
54.471,54.805,き,き,False,False
54.805,55.205,ず,ず,False,False
55.205,55.372,あ,あ,False,False
55.372,57.141,と,と,False,False
57.141,58.175,<silence>,<silence>,False,False
58.175,58.342,う,う,False,False
58.342,58.542,た,た,False,False
58.542,58.709,か,か,False,False
58.709,59.076,た,た,False,False
59.076,59.41,さ,さ,False,False
59.41,59.743,め,め,False,False
59.743,60.144,ず,ず,False,False
60.144,60.477,に,に,False,False
60.477,60.844,き,き,False,False
60.844,61.178,え,え,False,False
61.178,61.545,て,て,False,False
61.545,61.912,ゆ,ゆ,False,False
61.912,62.946,く,く,False,False
62.946,63.113,わ,わ,False,False
63.113,63.28,た,た,False,False
63.28,63.647,し,し,False,False
63.647,63.814,わ,わ,False,False
63.814,63.981,た,た,False,False
63.981,64.348,し,し,False,False
64.348,64.515,ワ,ワ,False,False
64.515,64.681,タ,タ,False,False
64.681,65.049,シ,シ,False,False
65.049,65.215,こ,こ,False,False
65.215,65.416,こ,こ,False,False
65.416,65.749,に,に,False,False
65.749,66.116,い,い,False,False
66.116,68.419,た,た,False,False
68.419,69.319,<silence>,<silence>,False,False
69.319,69.486,ま,ま,False,False
69.486,69.653,ぶ,ぶ,False,False
69.653,69.82,た,た,False,False
69.82,70.187,の,の,False,False
70.187,70.354,む,む,False,False
70.354,70.687,こ,こ,False,False
70.687,70.888,う,う,False,False
70.888,71.088,か,か,False,False
71.088,72.156,ら,ら,False,False
72.156,72.289,み,み,False,False
72.289,72.456,つ,つ,False,False
72.456,72.623,め,め,False,False
72.623,72.99,か,か,False,False
72.99,73.157,え,え,False,False
73.157,73.557,す,す,False,False
73.557,73.69,ひ,ひ,False,False
73.69,73.857,と,と,False,False
73.857,74.925,み,み,False,False
74.925,75.092,か,か,False,False
75.092,75.292,が,が,False,False
75.292,75.459,み,み,False,False
75.459,75.826,の,の,False,False
75.826,75.993,む,む,False,False
75.993,76.36,こ,こ,False,False
