start,end,token,cleaned_token,overlap,ignore,gap,other,exclude
0.0,1.018,<silence>,<silence>,False,False,False,False,False
1.018,1.285,だ,だ,False,False,False,False,False
1.285,1.685,っ,っ,False,False,False,False,False
1.685,1.919,て,て,False,False,False,False,False
1.919,2.353,ぼ,ぼ,False,False,False,False,False
2.353,2.453,く,く,False,False,False,False,False
2.453,2.653,は,は,False,False,False,False,False
2.653,3.12,ほ,ほ,False,False,False,False,False
3.12,3.354,し,し,False,False,False,False,False
3.354,3.854,だ,だ,False,False,False,False,False
3.854,4.121,か,か,False,False,False,False,False
4.121,7.324,ら,ら,False,False,False,False,False
7.324,8.425,<silence>,<silence>,False,True,False,False,True
8.425,8.792,stel,,False,True,False,True,True
8.792,9.159,lar,,False,True,False,True,True
9.159,9.46,stel,,False,True,False,True,True
9.46,9.893,lar,,False,True,False,True,True
9.893,20.0,<silence>,<silence>,False,False,False,False,False
20.0,26.377,<silence>,<ignore>,False,True,False,False,True
26.377,26.577,き,き,False,False,False,False,False
26.577,26.744,っ,っ,False,False,False,False,False
26.744,27.244,と,と,False,False,False,False,False
27.244,27.411,き,き,False,False,False,False,False
27.411,27.578,み,み,False,False,False,False,False
27.578,27.745,は,は,False,False,False,False,False
27.745,27.911,も,も,False,False,False,False,False
27.911,28.078,う,う,False,False,False,False,False
28.078,28.245,き,き,False,False,False,False,False
28.245,28.412,づ,づ,False,False,False,False,False
28.412,28.579,い,い,False,False,False,False,False
28.579,28.746,て,て,False,False,False,False,False
28.746,28.912,い,い,False,False,False,False,False
28.912,29.613,た,た,False,False,False,False,False
29.613,29.78,ぼ,ぼ,False,False,False,False,False
29.78,29.947,く,く,False,False,False,False,False
29.947,30.114,の,の,False,False,False,False,False
30.114,30.247,こ,こ,False,False,False,False,False
30.247,30.447,こ,こ,False,False,False,False,False
30.447,30.614,ろ,ろ,False,False,False,False,False
30.614,30.781,の,の,False,False,False,False,False
30.781,30.948,お,お,False,False,False,False,False
30.948,31.115,く,く,False,False,False,False,False
31.115,31.281,で,で,False,False,False,False,False
31.281,31.448,か,か,False,False,False,False,False
31.448,31.648,い,い,False,False,False,False,False
31.648,32.316,た,た,False,False,False,False,False
32.316,32.483,そ,そ,False,False,False,False,False
32.483,32.649,れ,れ,False,False,False,False,False
32.649,32.816,が,が,False,False,False,False,False
32.816,32.983,こ,こ,False,False,False,False,False
32.983,33.15,れ,れ,False,False,False,False,False
33.15,33.317,か,か,False,False,False,False,False
33.317,33.484,ら,ら,False,False,False,False,False
33.484,33.65,は,は,False,False,False,False,False
33.65,33.817,な,な,False,False,False,False,False
33.817,33.984,す,す,False,False,False,False,False
33.984,34.151,ち,ち,False,False,False,False,False
34.151,34.351,ん,ん,False,False,False,False,False
34.351,34.518,ぷ,ぷ,False,False,False,False,False
34.518,35.519,な,な,False,False,False,False,False
35.519,35.853,も,も,False,False,False,False,False
35.853,36.02,の,の,False,False,False,False,False
36.02,36.353,ろー,ろー,False,False,False,False,False
36.353,36.687,ぐ,ぐ,False,False,False,False,False
36.687,37.221,さ,さ,False,False,False,False,False
37.221,37.388,ず,ず,False,False,False,False,False
37.388,37.554,っ,っ,False,False,False,False,False
37.554,38.055,と,と,False,False,False,False,False
38.055,38.222,い,い,False,False,False,False,False
38.222,38.389,え,え,False,False,False,False,False
38.389,38.555,な,な,False,False,False,False,False
38.555,38.722,い,い,False,False,False,False,False
38.722,38.889,こ,こ,False,False,False,False,False
38.889,39.056,と,と,False,False,False,False,False
39.056,39.223,ば,ば,False,False,False,False,False
39.223,39.39,が,が,False,False,False,False,False
39.39,39.556,あ,あ,False,False,False,False,False
39.556,39.757,っ,っ,False,False,False,False,False
39.757,40.391,た,た,False,False,False,False,False
40.391,40.591,こ,こ,False,False,False,False,False
40.591,40.758,わ,わ,False,False,False,False,False
40.758,40.891,せ,せ,False,False,False,False,False
40.891,41.058,な,な,False,False,False,False,False
41.058,41.258,い,い,False,False,False,False,False
41.258,41.425,か,か,False,False,False,False,False
41.425,41.592,べ,べ,False,False,False,False,False
41.592,41.759,が,が,False,False,False,False,False
41.759,41.925,あ,あ,False,False,False,False,False
41.925,42.092,っ,っ,False,False,False,False,False
42.092,42.426,た,た,False,False,False,False,False
42.426,42.626,ん,ん,False,False,False,False,False
42.626,43.694,だ,だ,False,False,False,False,False
43.694,44.762,<silence>,<silence>,False,False,False,False,False
44.762,45.162,ず,ず,False,False,False,False,False
45.162,45.462,っ,っ,False,False,False,False,False
45.462,45.696,と,と,False,False,False,False,False
45.696,46.296,さ,さ,False,False,False,False,False
46.296,47.998,<silence>,<silence>,False,False,False,False,False
47.998,48.165,ふ,ふ,False,False,False,False,False
48.165,48.332,っ,っ,False,False,False,False,False
48.332,48.832,と,と,False,False,False,False,False
48.832,48.999,か,か,False,False,False,False,False
48.999,49.166,お,お,False,False,False,False,False
49.166,49.333,り,り,False,False,False,False,False
49.333,49.5,た,た,False,False,False,False,False
49.5,49.6,つ,つ,False,False,False,False,False
49.6,49.7,あ,あ,False,False,False,False,False
49.7,49.833,さ,さ,False,False,False,False,False
49.833,50.0,の,の,False,False,False,False,False
50.0,50.2,に,に,False,False,False,False,False
50.2,50.367,お,お,False,False,False,False,False
50.367,50.534,い,い,False,False,False,False,False
50.534,51.201,が,が,False,False,False,False,False
51.201,51.368,ど,ど,False,False,False,False,False
51.368,51.535,う,う,False,False,False,False,False
51.535,51.702,し,し,False,False,False,False,False
51.702,51.769,よ,よ,False,False,False,False,False
51.769,51.869,う,う,False,False,False,False,False
51.869,52.036,も,も,False,False,False,False,False
52.036,52.202,な,な,False,False,False,False,False
52.202,52.369,く,く,False,False,False,False,False
52.369,52.536,に,に,False,False,False,False,False
52.536,52.703,く,く,False,False,False,False,False
52.703,52.87,ら,ら,False,False,False,False,False
52.87,53.037,し,し,False,False,False,False,False
53.037,53.203,く,く,False,False,False,False,False
53.203,53.904,て,て,False,False,False,False,False
53.904,54.071,へ,へ,False,False,False,False,False
54.071,54.238,や,や,False,False,False,False,False
54.238,54.405,の,の,False,False,False,False,False
54.405,54.571,す,す,False,False,False,False,False
54.571,54.738,み,み,False,False,False,False,False
54.738,54.905,で,で,False,False,False,False,False
54.905,55.072,ひ,ひ,False,False,False,False,False
55.072,55.239,ざ,ざ,False,False,False,False,False
55.239,55.406,を,を,False,False,False,False,False
55.406,55.572,か,か,False,False,False,False,False
55.572,55.739,か,か,False,False,False,False,False
55.739,55.939,え,え,False,False,False,False,False
55.939,56.94,て,て,False,False,False,False,False
56.94,57.107,ふ,ふ,False,False,False,False,False
57.107,57.441,る,る,False,False,False,False,False
57.441,57.608,え,え,False,False,False,False,False
57.608,57.941,て,て,False,False,False,False,False
57.941,58.275,い,い,False,False,False,False,False
