start,end,token,cleaned_token,overlap,ignore,gap,other,exclude
0.0,2.252,<silence>,<silence>,False,False,False,False,False
2.252,2.453,て,て,False,False,False,False,False
2.453,2.686,を,を,False,False,False,False,False
2.686,2.886,あ,あ,False,False,False,False,False
2.886,3.087,げ,げ,False,False,False,False,False
3.087,3.287,て,て,False,False,False,False,False
3.287,3.687,clap,,False,False,False,True,True
3.687,4.121,your,,False,False,False,True,True
4.121,4.521,hands,,False,False,False,True,True
4.521,4.755,う,う,False,False,False,False,False
4.755,4.922,み,み,False,False,False,False,False
4.922,5.122,の,の,False,False,False,False,False
5.122,5.356,む,む,False,False,False,False,False
5.356,5.589,こ,こ,False,False,False,False,False
5.589,5.789,う,う,False,False,False,False,False
5.789,6.19,ま,ま,False,False,False,False,False
6.19,6.59,で,で,False,False,False,False,False
6.59,6.991,clap,,False,False,False,True,True
6.991,7.424,your,,False,False,False,True,True
7.424,7.825,hands,,False,False,False,True,True
7.825,8.025,と,と,False,False,False,False,False
8.025,8.225,ど,ど,False,False,False,False,False
8.225,8.459,き,き,False,False,False,False,False
8.459,8.659,ま,ま,False,False,False,False,False
8.659,8.859,す,す,False,False,False,False,False
8.859,9.059,よう,よう,False,False,False,False,False
9.059,9.693,に,に,False,False,False,False,False
9.693,9.793,て,て,False,False,False,False,False
9.793,9.927,を,を,False,False,False,False,False
9.927,10.127,た,た,False,False,False,False,False
10.127,10.327,た,た,False,False,False,False,False
10.327,10.728,こう,こう,False,False,False,False,False
10.728,11.328,<silence>,<silence>,False,False,False,False,False
11.328,11.428,て,て,False,False,False,False,False
11.428,11.562,を,を,False,False,False,False,False
11.562,11.762,た,た,False,False,False,False,False
11.762,11.962,た,た,False,False,False,False,False
11.962,12.396,こう,こう,False,False,False,False,False
12.396,13.197,<silence>,<silence>,False,False,False,False,False
13.197,13.63,ほ,ほ,False,False,False,False,False
13.63,14.031,ら,ら,False,False,False,False,False
14.031,14.365,いっ,いっ,False,False,False,False,False
14.365,14.665,しょ,しょ,False,False,False,False,False
14.665,15.699,に,に,False,False,False,False,False
15.699,15.899,eve,,False,False,False,True,True
15.899,16.1,ry,,False,False,False,True,True
16.1,16.3,bod,,False,False,False,True,True
16.3,16.5,y,,False,False,False,True,True
16.5,16.9,clap,,False,False,False,True,True
16.9,17.334,your,,False,False,False,True,True
17.334,17.735,hands,,False,False,False,True,True
17.735,17.935,そ,そ,False,False,False,False,False
17.935,18.168,ら,ら,False,False,False,False,False
18.168,18.335,の,の,False,False,False,False,False
18.335,18.569,む,む,False,False,False,False,False
18.569,18.769,こ,こ,False,False,False,False,False
18.769,19.003,う,う,False,False,False,False,False
19.003,19.403,ま,ま,False,False,False,False,False
19.403,19.837,で,で,False,False,False,False,False
19.837,20.237,clap,,False,False,False,True,True
20.237,20.671,your,,False,False,False,True,True
20.671,21.071,hands,,False,False,False,True,True
21.071,21.305,ひ,ひ,False,False,False,False,False
21.305,21.472,び,び,False,False,False,False,False
21.472,21.672,き,き,False,False,False,False,False
21.672,21.872,ま,ま,False,False,False,False,False
21.872,22.106,す,す,False,False,False,False,False
22.106,22.306,よう,よう,False,False,False,False,False
22.306,22.94,に,に,False,False,False,False,False
22.94,23.04,て,て,False,False,False,False,False
23.04,23.14,を,を,False,False,False,False,False
23.14,23.34,た,た,False,False,False,False,False
23.34,23.54,た,た,False,False,False,False,False
23.54,23.974,こう,こう,False,False,False,False,False
23.974,24.575,<silence>,<silence>,False,False,False,False,False
24.575,24.675,て,て,False,False,False,False,False
24.675,24.775,を,を,False,False,False,False,False
24.775,24.975,た,た,False,False,False,False,False
24.975,25.175,た,た,False,False,False,False,False
25.175,25.609,こう,こう,False,False,False,False,False
25.609,26.443,<silence>,<silence>,False,False,False,False,False
26.443,26.844,ひ,ひ,False,False,False,False,False
26.844,27.277,か,か,False,False,False,False,False
27.277,27.678,り,り,False,False,False,False,False
27.678,28.112,さ,さ,False,False,False,False,False
28.112,28.712,す,す,False,False,False,False,False
28.712,28.812,ぼ,ぼ,False,False,False,False,False
28.812,28.912,く,く,False,False,False,False,False
28.912,29.146,た,た,False,False,False,False,False
29.146,29.346,ち,ち,False,False,False,False,False
29.346,29.546,の,の,False,False,False,False,False
29.546,29.613,み,み,False,False,False,False,False
29.613,30.18,<gap>,<gap>,False,False,True,False,True
30.18,33.017,<silence>,<silence>,False,False,False,False,False
33.017,36.286,4,,False,False,False,True,True
36.286,37.988,3,,False,False,False,True,True
37.988,39.623,2,,False,False,False,True,True
39.623,41.325,1,,False,False,False,True,True
41.325,42.893,<silence>,<silence>,False,False,False,False,False
42.893,43.093,ho,,False,False,False,True,True
43.093,43.327,lo,,False,False,False,True,True
43.327,43.727,live,,False,False,False,True,True
43.727,44.228,5th,,False,False,False,True,True
44.228,44.661,stars,,False,False,False,True,True
44.661,44.862,<silence>,<silence>,False,False,False,False,False
44.862,45.062,は,は,False,False,False,False,False
45.062,45.229,じ,じ,False,False,False,False,False
45.229,45.396,め,め,False,False,False,False,False
45.396,45.629,よう,よう,False,False,False,False,False
45.629,45.796,か,か,False,False,False,False,False
45.796,45.896,さぁ,さぁ,False,False,False,False,False
45.896,46.096,div,,False,False,False,True,True
46.096,46.497,ing,,False,False,False,True,True
46.497,46.697,まっ,まっ,False,False,False,False,False
46.697,46.897,て,て,False,False,False,False,False
46.897,47.031,も,も,False,False,False,False,False
47.031,47.231,い,い,False,False,False,False,False
47.231,47.297,み,み,False,False,False,False,False
47.297,47.431,な,な,False,False,False,False,False
47.431,47.531,い,い,False,False,False,False,False
47.531,47.731,tim,,False,False,False,True,True
47.731,48.165,ing,,False,False,False,True,True
48.165,48.365,あ,あ,False,False,False,False,False
48.365,48.565,の,の,False,False,False,False,False
48.565,48.699,さ,さ,False,False,False,False,False
48.699,48.899,か,か,False,False,False,False,False
48.899,49.099,な,な,False,False,False,False,False
49.099,49.199,み,み,False,False,False,False,False
49.199,49.299,た,た,False,False,False,False,False
49.299,49.4,い,い,False,False,False,False,False
49.4,49.6,に,に,False,False,False,False,False
49.6,50.0,swim,,False,False,False,True,True
50.0,50.434,ming,,False,False,False,True,True
50.434,50.834,swim,,False,False,False,True,True
50.834,51.435,ming,,False,False,False,True,True
51.435,51.668,ひ,ひ,False,False,False,False,False
51.668,51.869,き,き,False,False,False,False,False
51.869,52.002,よ,よ,False,False,False,False,False
52.002,52.202,せ,せ,False,False,False,False,False
52.202,52.403,る,る,False,False,False,False,False
52.403,52.503,の,の,False,False,False,False,False
52.503,52.736,light,,False,False,False,True,True
52.736,53.137,ing,,False,False,False,True,True
53.137,53.337,ま,ま,False,False,False,False,False
53.337,53.537,だ,だ,False,False,False,False,False
53.537,53.637,み,み,False,False,False,False,False
53.637,53.837,え,え,False,False,False,False,False
53.837,53.937,な,な,False,False,False,False,False
53.937,54.038,い,い,False,False,False,False,False
54.038,54.138,よ,よ,False,False,False,False,False
54.138,54.371,may,,False,False,False,True,True
54.371,54.805,be,,False,False,False,True,True
54.805,55.005,こ,こ,False,False,False,False,False
55.005,55.205,の,の,False,False,False,False,False
55.205,55.339,さ,さ,False,False,False,False,False
55.339,55.572,き,き,False,False,False,False,False
55.572,55.706,に,に,False,False,False,False,False
55.706,55.839,は,は,False,False,False,False,False
55.839,56.04,な,な,False,False,False,False,False
56.04,56.24,に,に,False,False,False,False,False
56.24,56.673,が,が,False,False,False,False,False
56.673,57.074,あ,あ,False,False,False,False,False
57.074,57.508,る,る,False,False,False,False,False
57.508,58.075,の？,の,False,False,False,False,False
58.075,58.308,ま,ま,False,False,False,False,False
58.308,58.542,だ,だ,False,False,False,False,False
58.542,58.642,は,は,False,False,False,False,False
58.642,58.842,や,や,False,False,False,False,False
