start,end,token,cleaned_token,overlap,exclude
0.0,17.968,<silence>,<silence>,False,False
17.968,18.202,ほ,ほ,False,False
18.202,18.369,ら,ら,False,False
18.369,18.535,ほ,ほ,False,False
18.535,18.736,ら,ら,False,False
18.736,18.936,ま,ま,False,False
18.936,19.103,た,た,False,False
19.103,19.303,は,は,False,False
19.303,19.503,じ,じ,False,False
19.503,19.703,ま,ま,False,False
19.703,20.037,っ,っ,False,False
20.037,20.437,た,た,False,False
20.437,20.604,お,お,False,False
20.604,20.804,と,と,False,False
20.804,21.005,く,く,False,False
21.005,21.171,い,い,False,False
21.171,21.372,の,の,False,False
21.372,21.538,じ,じ,False,False
21.538,21.739,こ,こ,False,False
21.739,21.939,べ,べ,False,False
21.939,22.106,ん,ん,False,False
22.106,22.306,ご,ご,False,False
22.306,22.473,い,い,False,False
22.473,22.673,い,い,False,False
22.673,23.04,わ,わ,False,False
23.04,23.44,け,け,False,False
23.44,23.64,「で,で,False,False
23.64,23.807,も,も,False,False
23.807,26.443,ね」,ね,False,False
26.443,26.643,「だ,だ,False,False
26.643,26.81,っ,っ,False,False
26.81,29.046,て」,て,False,False
29.046,30.014,<silence>,<silence>,False,False
30.014,30.247,ほ,ほ,False,False
30.247,30.414,ら,ら,False,False
30.414,30.581,ほ,ほ,False,False
30.581,30.781,ら,ら,False,False
30.781,30.948,ま,ま,False,False
30.948,31.148,た,た,False,False
31.148,31.315,は,は,False,False
31.315,31.515,じ,じ,False,False
31.515,31.682,ま,ま,False,False
31.682,32.082,っ,っ,False,False
32.082,32.416,た,た,False,False
32.416,32.616,ご,ご,False,False
32.616,32.783,め,め,False,False
32.783,32.983,ん！,ん,False,False
32.983,33.183,か,か,False,False
33.183,33.384,ら,ら,False,False
33.384,33.55,の,の,False,False
33.55,33.717,ki,,False,True
33.717,33.917,ss,,False,True
33.917,34.084,の,の,False,False
34.084,34.284,パ,パ,False,False
34.284,34.485,タ,タ,False,False
34.485,34.651,ー,ー,False,False
34.651,35.052,ン,ン,False,False
35.052,35.352,って,って,False,False
35.352,35.652,か,か,False,False
35.652,35.853,ん,ん,False,False
35.853,38.422,じ？,じ,False,False
38.422,38.622,あ,あ,False,False
38.622,38.822,ん,ん,False,False
38.822,40.491,い,い,False,False
40.491,41.825,<silence>,<silence>,False,False
41.825,41.992,い,い,False,False
41.992,42.192,つ,つ,False,False
42.192,42.393,か,か,False,False
42.393,42.559,あ,あ,False,False
42.559,42.726,た,た,False,False
42.726,42.96,し,し,False,False
42.96,43.127,だ,だ,False,False
43.127,43.327,け,け,False,False
43.327,43.494,そ,そ,False,False
43.494,43.66,ん,ん,False,False
43.66,43.861,な,な,False,False
