index,file,start,end,token
0,0,0.0,12696.0,<silence>
1,0,12696.0,13263.0,か
2,0,13263.0,13664.0,た
3,0,13664.0,13831.0,す
4,0,13831.0,14398.0,ぎ
5,0,14398.0,14765.0,た
6,0,14765.0,14965.0,の
7,0,14965.0,15332.0,か
8,0,15332.0,15532.0,な
9,0,15532.0,15699.0,び
10,0,15699.0,15899.0,ん
11,0,15899.0,16065.999999999998,が
12,0,16065.999999999998,16265.999999999998,あ
13,0,16265.999999999998,16467.0,る
14,0,16467.0,16834.0,い
15,0,16834.0,17401.0,は
16,0,17401.0,17568.0,せ
17,0,17568.0,17768.0,ん
18,0,17768.0,17935.0,しゅ
19,0,17935.0,18335.0,だ
20,0,18335.0,18502.0,け
21,0,18502.0,18902.0,や
22,0,18902.0,19069.0,わ
23,0,19069.0,19436.0,い
24,0,19436.0,19837.0,か
25,0,19837.0,20037.0,え
26,0,20037.0,20404.0,ん
27,0,20404.0,20604.0,め
28,0,20604.0,20771.0,い
29,0,20771.0,20971.0,し
30,0,20971.0,21138.0,た
31,0,21138.0,21505.0,あ
32,0,21505.0,21905.0,か
33,0,21905.0,22072.0,わ
34,0,22072.0,22272.0,い
35,0,22272.0,22473.0,ん
36,0,22473.0,22840.0,は
37,0,22840.0,23040.0,え
38,0,23040.0,23407.0,ん
39,0,23407.0,23574.0,え
40,0,23574.0,23774.0,ん
41,0,23774.0,23974.0,な
42,0,23974.0,24341.0,み
43,0,24341.0,24508.0,の
44,0,24508.0,24575.0,う
45,0,24575.0,24908.0,え
46,0,24908.0,25109.0,ひ
47,0,25109.0,25342.0,ろ
48,0,25342.0,25476.0,い
49,0,25476.0,25709.0,の
50,0,25709.0,25843.0,む
51,0,25843.0,26043.0,の
52,0,26043.0,26210.0,は
53,0,26210.0,26477.0,ちゅ
54,0,26477.0,26577.0,う
55,0,26577.0,26844.0,ど
56,0,26844.0,26977.0,く
57,0,26977.0,27244.0,か
58,0,27244.0,27344.0,ん
59,0,27344.0,27611.0,じゃ
60,0,27611.0,27711.0,ひ
61,0,27711.0,27911.0,ろ
62,0,27911.0,28078.0,い
63,0,28078.0,28278.0,そ
64,0,28278.0,28479.0,ら
65,0,28479.0,28712.0,な
66,0,28712.0,28846.0,の
67,0,28846.0,29113.0,に
68,0,29113.0,29213.0,き
69,0,29213.0,29513.0,みょ
70,0,29513.0,29613.0,う
71,0,29613.0,29880.0,な
72,0,29880.0,29980.0,よ
73,0,29980.0,30280.0,か
74,0,30280.0,30347.0,ん
75,0,30347.0,30547.0,だ
76,0,30547.0,30714.0,あ
77,0,30714.0,30914.0,そ
78,0,30914.0,31115.0,う
79,0,31115.0,31482.0,か
80,0,31482.0,31682.0,か
81,0,31682.0,31849.0,ん
82,0,31849.0,32049.0,た
83,0,32049.0,32249.000000000004,ん
84,0,32249.000000000004,32616.0,だ
85,0,32616.0,32883.0,せ
86,0,32883.0,32983.0,ん
87,0,32983.0,33250.0,ちょ
88,0,33250.0,33350.0,う
89,0,33350.0,33617.0,を
90,0,33617.0,33717.0,き
91,0,33717.0,34084.0,め
92,0,34084.0,34351.0,て
93,0,34351.0,34485.0,な
94,0,34485.0,34651.0,か
95,0,34651.0,34852.0,っ
96,0,34852.0,35052.0,た
97,0,35052.0,35219.0,ん
98,0,35219.0,35486.0,だ
99,0,35486.0,35953.0,<silence>
100,0,35953.0,36353.0,そ
101,0,36353.0,36520.0,れ
102,0,36520.0,36720.0,が
103,0,36720.0,36920.0,だ
104,0,36920.0,37087.0,ん
105,0,37087.0,37254.0,け
106,0,37254.0,37354.0,つ
107,0,37354.0,37454.0,で
108,0,37454.0,37654.0,き
109,0,37654.0,37755.0,な
110,0,37755.0,37855.0,い
111,0,37855.0,37955.0,よ
112,0,37955.0,38022.0,う
113,0,38022.0,38122.0,い
114,0,38122.0,38222.0,ん
115,0,38222.0,38322.0,か
116,0,38322.0,38422.0,あ
117,0,38422.0,38589.0,ん
118,0,38589.0,38689.0,た
119,0,38689.0,38789.0,ふ
120,0,38789.0,38856.0,く
121,0,38856.0,38989.0,め
122,0,38989.0,39156.0,せん
123,0,39156.0,39256.0,いん
124,0,39256.0,39356.0,は
125,0,39356.0,39523.0,ご
126,0,39523.0,39723.0,にん
127,0,39723.0,40090.0,だ
128,0,40090.0,40190.0,こ
129,0,40190.0,40290.0,う
130,0,40290.0,40357.0,ほ
131,0,40357.0,40457.0,は
132,0,40457.0,40657.0,こ
133,0,40657.0,40758.0,れ
134,0,40758.0,40858.0,で
135,0,40858.0,41058.0,ぜん
136,0,41058.0,41225.0,いん
137,0,41225.0,41592.0,か
138,0,41592.0,41792.0,さん
139,0,41792.0,41959.0,にん
140,0,41959.0,42159.0,ふ
141,0,42159.0,42359.0,よう
142,0,42359.0,42526.0,で
143,0,42526.0,42726.0,いい
144,0,42726.0,43093.0,か
145,0,43093.0,43193.0,ぶ
146,0,43193.0,43260.0,き
147,0,43260.0,43360.0,を
148,0,43360.0,43460.0,し
149,0,43460.0,43660.0,ま
150,0,43660.0,43861.0,え
151,0,43861.0,44028.0,かい
152,0,44028.0,44228.0,じょう
153,0,44228.0,44595.0,だ
154,0,44595.0,44661.0,う
155,0,44661.0,44762.0,ば
156,0,44762.0,44862.0,い
157,0,44862.0,44962.0,あ
158,0,44962.0,45162.0,い
159,0,45162.0,45229.0,な
160,0,45229.0,45329.0,ん
161,0,45329.0,45429.0,か
162,0,45429.0,45529.0,い
163,0,45529.0,45729.0,じょう
164,0,45729.0,46096.0,だ
165,0,46096.0,46230.0,た
166,0,46230.0,46363.0,すう
167,0,46363.0,46463.0,け
168,0,46463.0,46663.0,つ
169,0,46663.0,46764.0,が
170,0,46764.0,46864.0,り
171,0,46864.0,46964.0,そ
172,0,46964.0,47031.0,う
173,0,47031.0,47197.0,さ
174,0,47197.0,47297.0,み
175,0,47297.0,47398.0,ん
176,0,47398.0,47498.0,な
177,0,47498.0,47564.0,じ
178,0,47564.0,47698.0,ぶ
179,0,47698.0,47765.0,ん
180,0,47765.0,47865.0,に
181,0,47865.0,47965.0,い
182,0,47965.0,48032.0,れ
183,0,48032.0,48132.0,る
184,0,48132.0,48232.0,か
185,0,48232.0,48332.0,そ
186,0,48332.0,48465.0,う
187,0,48465.0,48966.0,か
188,0,48966.0,49099.0,と
189,0,49099.0,49266.0,い
190,0,49266.0,49433.0,う
191,0,49433.0,49700.0,わ
192,0,49700.0,49833.0,け
193,0,49833.0,50100.0,で
194,0,50100.0,50300.0,さ
195,0,50300.0,50467.0,い
196,0,50467.0,50667.0,れ
197,0,50667.0,50734.0,ん
198,0,50734.0,50868.0,す
199,0,50868.0,50968.0,き
200,0,50968.0,51135.0,み
201,0,51135.0,51335.0,し
202,0,51335.0,51502.0,だ
203,0,51502.0,51702.0,い
204,0,51702.0,52069.0,だ
205,0,52069.0,52336.0,れ
206,0,52336.0,52403.0,に
207,0,52403.0,52469.0,し
208,0,52469.0,52836.0,た
209,0,52836.0,53137.0,って
210,0,53137.0,53203.0,き
211,0,53203.0,53370.0,に
212,0,53370.0,53570.0,し
213,0,53570.0,53771.0,な
214,0,53771.0,53971.0,い
215,0,53971.0,54138.0,さ
216,0,54138.0,54338.0,い
217,0,54338.0,54538.0,ご
218,0,54538.0,54738.0,の
219,0,54738.0,54905.0,こ
220,0,54905.0,55072.0,う
221,0,55072.0,55272.0,か
222,0,55272.0,55472.0,い
223,0,55472.0,55839.0,だ
224,0,55839.0,56006.0,か
225,0,56006.0,56140.0,ら
226,0,56140.0,56206.0,い
227,0,56206.0,56473.0,き
228,0,56473.0,56573.0,さ
229,0,56573.0,56807.0,き
230,0,56807.0,56907.0,は
231,0,56907.0,56974.0,え
232,0,56974.0,57207.0,ら
233,0,57207.0,57341.0,び
234,0,57341.0,57508.0,ほ
235,0,57508.0,57708.0,う
236,0,57708.0,57908.0,だ
237,0,57908.0,58075.0,い
238,0,58075.0,58242.0,さ
239,0,58242.0,58442.0,あ
240,0,58442.0,58675.0,か
241,0,58675.0,58842.0,じ
242,0,58842.0,59009.0,を
243,0,59009.0,59209.0,か
244,0,59209.0,59576.0,せ
245,0,59576.0,59743.0,こ
246,0,59743.0,59943.0,う
247,0,59943.0,60144.0,た
248,0,60144.0,60310.0,い
249,0,60310.0,61145.0,だ
250,0,71955.0,72056.0,ぷ
251,0,72056.0,72256.0,り
252,0,72256.0,72356.0,ず
253,0,72356.0,72523.0,みす
254,0,72523.0,72723.0,た
255,0,72723.0,73257.0,さ
256,0,73257.0,73457.0,い
257,0,73457.0,73724.0,れ
258,0,73724.0,73824.0,ん
259,0,73824.0,74024.0,す
260,0,74024.0,74224.0,ああ
261,0,74224.0,74391.0,ど
262,0,74391.0,74792.0,う
263,0,74792.0,74992.0,し
264,0,74992.0,75526.0,て
265,0,75526.0,75726.0,ああ
266,0,75726.0,75926.0,ど
267,0,75926.0,76260.0,う
268,0,76260.0,76460.0,し
269,0,76460.0,77027.0,て
270,0,77027.0,77227.0,え
271,0,77227.0,77594.0,ら
272,0,77594.0,77961.0,べ
273,0,77961.0,78328.0,る
274,0,78328.0,78729.0,の
275,0,78729.0,79096.0,が
276,0,79096.0,79863.0,き
277,0,79863.0,80230.0,み
278,0,80230.0,80597.0,し
279,0,80597.0,80964.0,か
280,0,80964.0,81331.0,い
281,0,81331.0,81732.0,な
282,0,81732.0,82466.0,い
283,0,82466.0,83233.0,ん
284,0,83233.0,83967.0,だ
285,0,83967.0,84168.0,お
286,0,84168.0,84334.0,ね
287,0,84334.0,84535.0,が
288,0,84535.0,84735.0,い
289,0,84735.0,87471.0,choo
290,0,87471.0,87604.0,se
291,0,87604.0,88105.0,me
292,0,88105.0,89973.0,<silence>
293,0,89973.0,90140.0,お
294,0,90140.0,90340.0,ね
295,0,90340.0,90541.0,が
296,0,90541.0,90707.0,い
297,0,90707.0,93477.0,choo
298,0,93477.0,93610.0,se
299,0,93610.0,94845.0,me
300,0,94845.0,95012.0,ほ
301,0,95012.0,95779.0,ら
302,0,95779.0,95979.0,は
303,0,95979.0,96180.0,や
304,0,96180.0,96346.0,く
305,0,96346.0,96513.0,きょ
306,0,96513.0,96713.0,う
307,0,96713.0,99349.0,じゅ
308,0,99349.0,99550.0,う
309,0,99550.0,101952.0,に
310,0,101952.0,102152.0,お
311,0,102152.0,102352.0,ね
312,0,102352.0,102519.0,が
313,0,102519.0,102719.0,い
314,0,102719.0,103854.0,choo
315,0,103854.0,104021.0,se
316,0,104021.0,105722.0,me
317,0,105722.0,106824.0,choo
318,0,106824.0,107057.0,se
319,0,107057.0,107758.0,me
320,0,107758.0,107958.0,き
321,0,107958.0,108158.0,み
322,0,108158.0,108325.0,が
323,0,108325.0,108425.0,きょ
324,0,108425.0,108525.0,う
325,0,108525.0,108725.0,え
326,0,108725.0,108992.0,ら
327,0,108992.0,109093.0,ん
328,0,109093.0,109259.0,で
329,0,109259.0,109359.0,く
330,0,109359.0,109660.0,れ
331,0,109660.0,109726.0,な
332,0,109726.0,109827.0,い
333,0,109827.0,110027.0,と
334,0,110027.0,110294.0,な
335,0,110294.0,110394.0,ん
336,0,110394.0,110594.0,も
337,0,110594.0,110761.0,で
338,0,110761.0,111128.0,き
339,0,111128.0,111328.0,な
340,0,111328.0,111695.0,い
341,0,111695.0,111962.0,か
342,0,111962.0,112096.0,ん
343,0,112096.0,112262.0,が
344,0,112262.0,112362.0,え
345,0,112362.0,112629.0,て
346,0,112629.0,112830.0,く
347,0,112830.0,112996.0,れ
348,0,112996.0,113297.0,な
349,0,113297.0,113397.0,い
350,0,113397.0,113564.0,と
351,0,113564.0,113697.0,し
352,0,113697.0,113764.0,ん
353,0,113764.0,114031.0,ぱ
354,0,114031.0,114131.0,い
355,0,114131.0,114698.0,に
356,0,114698.0,114965.0,か
357,0,114965.0,115065.0,ん
358,0,115065.0,115265.0,じ
