start,end,token
0.0,20.64,<s></s>
20.64,20.828,<bre>
20.83,21.24,あ
21.24,21.41,こ
21.41,21.54,い
21.54,21.69,の
21.69,21.899,て
21.9,22.04,ぎ
22.04,22.131,が
22.13,22.274,わ
22.27,22.358,か
22.36,22.44,ん
22.44,22.579,な
22.58,22.765,い
22.77,22.86,ま
22.856,22.95,ず
22.951999999999998,23.04,す
23.04,23.151,き
23.15,23.262,て
23.26,23.36,き
23.36,23.47,じゅ
23.47,23.622,ん
23.62,23.783,も
23.78,23.903,わ
23.9,24.022,か
24.02,24.13,ん
24.13,24.27,な
24.27,24.368,い
24.37,24.51,よ
24.51,24.651,わ
24.65,24.757,こ
24.76,24.88,い
24.88,24.994,し
24.99,25.099,て
25.1,25.177,る
25.18,25.287,と
25.29,25.354,き
25.35,25.48,が
25.48,25.56,こ
25.56,25.725,い
25.73,25.84,ら
25.843,26.109,し
26.11,26.293,きゃ
26.293,26.357,っ (x)
26.357,26.53,か
26.53,26.6,ん
26.6,26.767,しゅ
26.77,26.912,か
26.91,26.96,ん
26.96,27.094,え
27.09,27.182,び
27.18,27.336,で
27.34,27.397,ん
27.4,27.5,す
27.5,27.87,ぷりず (x)
27.87,27.97,<bre>
27.97,28.114,あ
28.11,28.21,い
28.207,28.33,わ
28.33,28.41,け
28.41,28.548000000000002,い
28.55,28.75,さ
28.75,28.86,ん
28.86,28.98,じゃ
28.98,29.072,と
29.07,29.191,け
29.19,29.311,な
29.31,29.477,い
29.48,29.595,ま
29.6,29.721,ず
29.72,29.853,ふ
29.85,29.98,つ
29.98,30.16,の
30.16,30.237,け
30.24,30.38,い
30.38,30.48,さ
30.48,30.6,ん
30.597,30.68,も
30.68,30.779,と
30.78,30.891,け
30.89,31.05,な
31.05,31.17,い
31.17,31.28,よ
31.28,31.347,わ
31.347,31.448,そ
31.45,31.588,な
31.59,31.73,じょ (x)
31.73,31.884,た
31.88,32.06,い
32.06,32.22,が
32.22,32.351,あ
32.35,32.42,い
32.42,32.533,ら
32.53,32.688,し
32.69,32.85,い
32.85,32.939,あ
32.94,33.09,い
33.09,33.269,の
33.27,33.48,ゆ
33.484,33.716,の
33.72,33.92,も
33.92,34.02,た
34.02,34.15,い
34.151,34.283,て
34.28,34.368,い
34.37,34.59,の
34.59,34.767,じ
34.77,34.997,しょ
35.0,35.051,に
35.051,35.082,お
35.082,35.161,お
35.16,35.405,い
35.41,35.638,て
35.64,35.832,q (x)
35.83,35.946,が
35.95,36.2,あ
36.2,36.29,っ (x)
36.29,36.478,て
36.48,36.65,a (x)
36.648,36.75,を
36.75,36.791,だ
36.791,36.97,だ
36.97,37.093,し
37.09,37.204,て
37.2,37.318,と
37.32,37.546,け
37.55,37.72,る
37.72,37.92,の
37.92,38.155,に
38.16,38.281,か
38.28,38.39,ん
38.39,38.49,ち
38.49,38.749,が
38.75,38.816,っ (x)
38.82,39.019,て
39.02,39.197,ま
39.2,39.334,ち
39.33,39.588,が
39.59,39.66,っ (x)
39.66,39.862,て
39.86,39.96,か
39.96,40.088,い
40.09,40.198,の
40.2,40.277,な
40.28,40.401,い
40.4,40.509,こ
40.51,40.705,の
40.71,40.93,き
40.93,41.105,も
41.11,41.321,ち
41.32,41.52,わ
41.524,41.859,な
41.86,42.194,あ
42.19,42.36,だ
42.36,42.79,ろ
42.79,43.097,け
43.1,43.19,ん
43.192,43.627,しょ
43.627,43.926,is (x)
43.93,44.122,ふ
44.12,44.198,め
44.2,44.51,い
44.51,44.88,りょ
45.146,45.368,daz (x)
45.37,45.779,ing (x)
45.78,46.014,も
46.01,46.36,しょ
46.36,46.54,わ
46.54,46.842,そ
46.84,47.0,たい (x)
47.0,47.22,せい (x)
47.22,47.34,に
47.34,47.471,す
47.47,48.002,てい (x)
48.0,48.26,<sil>
48.262,48.7,ちゅ
48.698,49.098,りんぐ (x)
49.098,49.566,らぶ (x)
49.57,49.696,み
49.7,49.837,つ
49.84,50.007,め
50.01,50.13,あ
50.13,50.22,っ (x)
50.217,50.36,た
50.36,50.43,っ (x)
50.425,50.635,た
50.64,50.742,て
50.74,50.952,と
50.95,51.063,け
51.06,51.13,な
51.13,51.27,い
51.27,51.394,め
51.39,51.63,ろ
51.63,51.682,わっと (x)
51.682,52.07,わっと (x)
52.069,52.503,いず (x)
52.88,52.94,らぶ (x)
52.94,53.281,い
53.28,53.377,ま
53.38,53.588,わん (x)
53.588,53.601,つ (x)
53.601,53.749,つ (x)
53.75,54.04,すり (x)
54.04,54.103,で
54.1,54.348,あ
54.35,54.47,か
54.47,54.814,そ
54.81,55.054,か
55.05,55.177,こ
55.18,55.282,と
55.28,55.397,ば
55.4,55.488,で
55.49,55.597,う
55.6,55.703,み
55.7,55.798,だ
55.8,55.915,す
55.92,56.044,くえす (x)
56.04,56.31,ちょん (x)
56.31,56.487,くえす (x)
56.49,56.765,ちょん (x)
56.77,56.982,は
56.98,57.197,と
57.2,57.299,で
57.3,57.405,た
57.41,57.506,か
57.51,57.6,な (x)
57.6,57.721,あん (x)
57.72,57.98,さ
57.975,58.174,あん (x)
58.174,58.408,さ
58.41,58.54,は
58.54,58.706,か
58.706,58.779,っ (x)
58.78,59.04,た
59.04,59.078,っ (x)
59.08,59.29,て
59.29,59.392,ふ (x)
59.39,59.48,か (x)
59.48,59.61,く (x)
59.61,59.844,てい (x)
59.84,60.15,せい (x)
60.15,60.46,ぼ
60.46,60.53,く
60.527,60.777,ら
60.78,61.0,の
61.0,61.201,b (x)
61.2,61.379,p (x)
61.38,61.801,m (x)
61.8,62.26,ちゅ
62.26,62.682,りんぐ (x)
62.68,63.057,らぶ (x)
63.06,63.325,ちゅ
63.33,63.51,に
63.51,63.645,ま
63.645,63.742,っ (x)
63.742,63.85,た
63.85,63.949,っ (x)
63.949,64.057,た
64.06,64.133,て
64.13,64.35,し
64.35,64.475,ん
64.48,64.588,じ
64.59,64.68,な
64.68,64.791,い
64.79,64.918,け
64.92,65.197,ど
65.2,65.628,ふぉ
65.63,66.02,りん (x)
66.02,66.437,らぶ (x)
66.47,66.56,い
66.56,66.71,ま
66.71,66.9,わ
66.9,67.124,a (x)
67.12,67.284,b (x)
67.28,67.48,c (x)
67.48,67.564,す
67.56,67.75,ら
67.745,67.856,ば
67.86,67.942,ぐ
67.94,68.02,り
68.02,68.389,そ
68.39,68.591,だ
68.59,68.73,な
68.73,68.81,ん
68.81,68.908,で
68.91,69.013,か
69.01,69.112,お
69.11,69.23,し
69.23,69.339,え
69.34,69.447,て
69.45,69.65,おい (x)
69.65,69.82,ら
69.819,70.019,おい (x)
70.02,70.265,ら
70.27,70.35,か
70.35,70.435,ん
70.44,70.59,そ
70.59,70.717,う
70.72,70.79,き
70.787,70.888,か
70.89,71.025,せ
71.03,71.14,て
71.14,71.34,ふぇる (x)
71.339,71.52,ま
71.52,71.77,ふぇる (x)
71.77,71.968,ま
71.97,72.12,よ
72.12,72.405,そ
72.41,72.59,く
72.59,72.814,ふ
72.81,72.925,か
72.93,73.037,の
73.04,73.213,せ
73.21,73.548,い
73.55,73.671,ま
73.67,73.773,ふ
73.77,73.985,れ
73.99,74.26,て
74.257,74.49,み
74.49,74.891,る
74.891,75.325,さあ (x)
75.325,75.626,しょう (x)
75.626,75.858,めい (x)
75.858,75.959,し
75.959,76.159,よう (x)
76.159,76.527,しょう (x)
76.527,76.727,めい (x)
76.727,76.793,し
76.793,77.26,よう (x)
77.26,77.361,ま
77.361,77.46,ち
77.46,77.561,が
77.561,77.628,い
77.628,77.861,の
77.861,78.128,な
78.128,78.295,い
78.295,78.394,よ
78.394,78.495,う
78.495,78.694,に
78.694,78.995,しょう (x)
78.995,79.228,めい (x)
79.228,79.328,し
79.328,79.53,よう (x)
79.53,79.829,しょう (x)
79.829,80.063,めい (x)
80.063,80.164,し
80.164,80.596,よう (x)
80.596,80.697,こ
80.697,80.798,の
80.798,81.031,かん (x)
81.031,81.23,じょう (x)
81.23,81.465,ぜん (x)
81.465,81.65,ぶ
81.665,81.876,ぜん (x)
81.899,82.066,ぶ
82.066,82.365,しょう (x)
82.365,82.599,めい (x)
82.599,82.698,し
82.698,82.9,よう (x)
82.9,83.233,しょう (x)
83.233,83.433,めい (x)
83.433,83.534,し
83.534,83.933,よう (x)
83.933,84.168,せい (x)
84.168,84.301,か
84.301,84.4,い
84.4,84.6,が
84.6,84.802,あ
84.802,85.034,る
85.034,85.234,な
85.234,85.468,ら
85.468,85.769,しょう (x)
85.769,86.003,めい (x)
86.003,86.102,し
86.102,86.302,よう (x)
86.302,86.637,しょう (x)
86.637,86.837,めい (x)
86.837,86.936,し
86.936,87.337,よう (x)
87.337,87.57,しん (x)
87.57,87.638,ぷ
87.638,87.771,る
87.771,87.971,な
87.971,88.382,q (x)
88.405,88.783,e (x)
88.805,89.239,d (x)
89.239,95.578,<s></s>
95.578,95.927,きょう (x)
96.013,96.189,こ
96.212,96.447,そ
96.447,96.647,しょう (x)
96.647,96.78,めい (x)
96.78,96.879,し
96.879,96.956,たい (x)
96.98,97.081,し
97.081,97.281,よう (x)
97.281,97.414,め
97.414,97.48,に
97.48,97.581,み
97.581,97.713,え
97.713,98.085,ない (x)
98.147,98.248,む
98.248,98.347,り
98.347,98.448,な
98.448,98.549,ん
98.549,98.649,だ
98.649,98.748,い
98.748,98.981,を
98.981,99.353,a (x)
99.415,99.787,s (x)
99.849,100.049,a (x)
100.049,100.227,p (x)
100.25,100.349,み
100.349,100.45,ち
100.45,100.584,び
100.584,100.628,き
100.65,100.751,だ
100.751,100.85,し
100.85,101.084,たい (x)
101.084,101.185,た
101.185,101.284,ど
101.284,101.385,り
101.385,101.484,つ
101.484,101.685,き
101.685,101.873,たい (x)
101.918,102.019,さ
102.019,102.118,い
102.118,102.251,て
102.251,102.352,き
102.352,102.453,か
102.453,102.552,い
102.552,102.924,へ
103.186,103.287,な
103.287,103.387,ん
103.387,103.519,ど
103.519,103.62,か
103.62,103.754,ら
103.754,103.853,ま
103.853,104.085,わっ (x)
104.087,104.275,た
104.32,104.409,って (x)
104.454,104.487,ぶ
104.487,104.655,つ
104.655,104.841,かっ (x)
104.888,105.066,ちゃっ (x)
105.088,105.242,た
105.289,105.59,って (x)
105.688,105.766,ふ
105.789,105.923,か
105.923,106.055,し
106.055,106.123,ぎ
106.123,106.256,な
106.256,106.355,こ
106.355,106.423,の
106.423,106.489,あ
106.489,106.59,の
106.59,106.689,ま
106.689,106.79,り
106.79,106.89,を
106.89,106.989,と
106.989,107.09,き
107.09,107.156,あ
107.156,107.257,か
107.257,107.356,す
107.356,107.49,か
107.49,107.558,て
107.558,107.623,い
107.623,107.724,さ
107.724,107.825,え
107.825,107.924,ひ
107.924,107.99,つ
107.99,108.091,よ
108.091,108.158,う
108.158,108.257,じょ
108.257,108.358,う
108.358,108.492,け
108.492,108.558,ん
