start,end,token
0.0,12.1,<sil>
12.1,12.71,<bre>
12.71,13.063,か
13.28,13.506,た
13.51,13.63,ん
13.63,13.81,す
13.837,14.18,ぎ
14.4,14.785,た
14.79,14.93,の
14.96,15.36,か
15.36,15.532,な
15.53,15.66,び
15.66,15.845,ん
15.912,16.32,が
16.32,16.435,る
16.44,16.65,い
16.833,17.15,わ
17.15,17.34,<bre>
17.34,17.73,せ
17.73,17.9,し
17.96,18.34,だ
18.335,18.55,け
18.55,18.8,や
18.8,19.068,わ
19.07,19.346,い
19.46,19.795,か
19.84,20.045,え
20.05,20.17,ん
20.365,20.57,め
20.57,20.77,い
20.83,20.97,し
20.97,21.3,<bre>
21.3,21.52,<bre>
21.52,21.91,か
21.905,22.12,わ
22.12,22.354,い
22.35,22.47,ん
22.472,22.839,わ
22.84,22.998,え
23.0,23.11,ん
23.11,23.41,<echo>
23.41,23.634,え
23.63,23.77,ん
23.77,23.915,な
23.92,24.34,み
24.34,24.568,の
24.57,24.946,え
24.95,25.069,ひ
25.07,25.223,る
25.22,25.51,い
25.506,25.71,の
25.708,25.843,む
25.84,26.074,の
26.07,26.198,わ
26.2,26.604,ちゅ
26.6,26.84,ど
26.84,26.948,く
26.95,27.182,か
27.18,27.32,ん
27.32,27.576999999999998,じゃ
27.58,27.71,ひ
27.71,27.851,ろ
27.85,27.986,い
27.99,28.32,そ
28.32,28.435,ら
28.44,28.71,な
28.71,28.82,の
28.82,29.059,に
29.06,29.195,き
29.2,29.61,みょ
29.612,29.829,な
29.829,29.98,よ
29.98,30.192,か
30.19,30.35,ん
30.35,30.68,だ
30.68,31.053,そ
31.05,31.688,か
31.69,31.82,ん
31.82,32.035,た
32.04,32.201,ん
32.2,32.53,だ
32.56,32.768,せ
32.77,32.9,ん
32.94,33.39,ちょ
33.39,33.6,を
33.6,33.743,き
33.74,34.08,め
34.084,34.32,て
34.32,34.45,な
34.448,34.83,か
34.83,35.068,た
35.07,35.21,ん
35.21,35.88,だ
35.88,36.35,そ
36.35,36.539,れ
36.54,36.71,が
36.71,36.924,だ
36.92,37.06,ん
37.087,37.253,け
37.253,37.353,つ
37.353,37.47,で
37.47,37.65,き
37.65,37.77,な
37.77,37.85,い
37.854,37.97,よ
37.97,38.059,い
38.06,38.21,ん
38.21,38.44,か
38.437,38.59,ん
38.588,38.689,た
38.689,38.789,ふ
38.789,38.856,く
38.856,38.92,め
38.92,39.03,せ
39.03,39.165,い
39.17,39.26,ん
39.256,39.356,わ
39.36,39.551,ご
39.55,39.65,に
39.65,39.72,ん
39.722,40.002,だ
40.08,40.244,こ
40.24,40.36,ほ
40.356,40.457,わ
40.457,40.66,こ
40.66,40.74,れ
40.74,40.81,で
40.81,41.05,ぜ
41.05,41.12,い
41.118,41.22,ん
41.22,41.453,か
41.45,41.685,さ
41.69,41.79,ん
41.79,41.89,に
41.891,41.96,ん
41.96,42.14,ふ
42.14,42.36,よ
42.36,42.53,で
42.526,42.664,い
42.71,43.0,か
43.093,43.18,ぶ
43.18,43.259,き
43.259,43.32,を
43.32,43.46,し
43.46,43.659,ま
43.659,43.84,え
43.84,43.918,か
43.92,44.0,い
44.0,44.244,じょ
44.24,44.48,だ
44.594,44.661,う
44.661,44.762,ば
44.762,44.862,い
44.86,44.99,あ
44.989,45.16,い
45.16,45.27,な
45.271,45.33,ん
45.33,45.425,か
45.43,45.52,い
45.52,45.728,じょ
45.728,45.984,だ
46.09,46.17,た
46.17,46.376,す
46.38,46.46,け
46.463,46.662,つ
46.662,46.764,が
46.764,46.8,り
46.8,47.0,そ
47.0,47.22,さ
47.22,47.343,み
47.34,47.4,ん
47.398,47.497,な
47.497,47.564,じ
47.56,47.715,ぶ
47.72,47.77,ん
47.765,47.865,に
47.865,47.965,い
47.965,48.031,れ
48.031,48.131,る
48.131,48.231,か
48.23,48.373,そ
48.37,48.47,う
48.47,48.88,か
48.966,49.098,と
49.098,49.265,い
49.27,49.49,う
49.485,49.7,わ
49.7,49.851,け
49.85,50.059,で
50.06,50.269,さ
50.27,50.47,い
50.47,50.616,れ
50.62,50.73,ん
50.734,50.868,す
50.868,50.99,き
50.99,51.134,み
51.134,51.335,し
51.34,51.546,だ
51.55,51.7,い
51.701,52.069,だ
52.069,52.335,れ
52.335,52.402,に
52.4,52.484,し
52.48,52.7,た
52.7,52.835,っ (x)
52.84,53.105,て
53.11,53.251,き
53.25,53.39,に
53.39,53.57,し
53.57,53.76,な
53.764,53.9,い
53.9,54.125,さ
54.13,54.34,い
54.34,54.574,ご
54.57,54.74,の
54.74,55.082,こ
55.08,55.274,か
55.27,55.47,い
55.472,55.68,だ
55.68,55.86,<bre>
55.86,56.0,か
56.0,56.14,ら
56.14,56.24,い
56.242,56.47,き
56.47,56.585,さ
56.59,56.81,き
56.807,56.906,わ
56.91,56.983,え
56.98,57.21,ら
57.21,57.3,び
57.3,57.724,ほ
57.72,57.868,だ
