start,end,token,cleaned_token,overlap
6.247,6.447,い,い,False
6.447,6.647,つ,つ,False
6.647,6.847,で,で,False
6.847,7.048,も,も,False
7.048,7.248,あ,あ,False
7.248,7.415,い,い,False
7.415,7.548,らぶ,らぶ,False
7.548,7.848,ゆー.,ゆー,False
7.848,8.049,き,き,False
8.049,8.249,み,み,False
8.249,8.449,に,に,False
8.449,8.649,てい,てい,False
8.649,8.849,く,く,False
8.849,9.05,き,き,False
9.05,9.15,す,す,False
9.15,9.45,みー.,みー,False
9.45,9.65,わ,わ,False
9.65,9.85,す,す,False
9.85,10.051,れ,れ,False
10.051,10.217,ら,ら,False
10.217,10.418,れ,れ,False
10.418,10.651,ない,ない,False
10.651,10.751,か,か,False
10.751,11.052,ら,ら,False
11.052,11.252,ぼ,ぼ,False
11.252,11.452,く,く,False
11.452,11.652,の,の,False
11.652,11.886,だ,だ,False
11.886,11.953,い,い,False
11.953,12.053,じ,じ,False
12.053,12.253,な,な,False
12.253,12.653,め,め,False
12.653,12.853,も,も,False
12.853,13.22,りー,りー,False
13.22,13.454,ど,ど,False
13.454,13.621,ら,ら,False
13.621,13.821,や,や,False
13.821,13.921,き,き,False
13.921,14.188,は,は,False
14.188,14.422,しゅ,しゅ,False
14.422,14.655,しょ,しょ,False
14.655,14.822,く,く,False
14.822,15.056,に,に,False
15.056,15.222,な,な,False
15.222,15.456,れ,れ,False
15.456,15.556,な,な,False
15.556,15.856,い,い,False
15.856,16.057,な,な,False
16.057,16.257,ら,ら,False
16.257,16.457,ば,ば,False
16.457,16.657,う,う,False
16.657,16.857,わ,わ,False
16.857,17.058,が,が,False
17.058,17.191,き,き,False
17.191,17.458,し,し,False
17.458,17.658,ちゃ,ちゃ,False
17.658,17.858,え,え,False
17.858,18.059,ば,ば,False
18.059,18.292,ぼ,ぼ,False
18.292,18.426,く,く,False
18.426,18.626,の,の,False
18.626,19.06,お,お,False
19.06,19.16,も,も,False
19.16,19.26,い,い,False
19.26,19.46,ど,ど,False
19.46,19.66,お,お,False
19.66,20.059,り,り,False
